Product Title,Price,Rating,Reviews,Product URL
Murano Ascent 29 LTR Laptop Backpack for 15.6 inch Laptop and Nylon Water Resistance Backpack- Black,"Rs. 1,514",4.0 out of 5 stars,99,"https://www.amazon.in/MURANO-Black-Laptop-Backpack-9050035_A/dp/B076Y26KKW/ref=sxin_24_trfob_7_B076Y26KKW?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B076Y26KKW&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
ADISA Laptop Backpack 31 Ltrs,Rs. 599,4.0 out of 5 stars,"8,640","https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-14
"
AirCase 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women,Rs. 999,4.0 out of 5 stars,"1,506","https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-15
"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags, Blue Light Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",Rs. 699,4.0 out of 5 stars,"1,005","https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-16
"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"Rs. 1,161",4.4 out of 5 stars,"15,836","https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-17
"
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,Rs. 899,4.3 out of 5 stars,"4,616","https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-18
"
American Tourister Casual Backpack,"Rs. 1,199",4.1 out of 5 stars,"13,140","https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-19
"
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",Rs. 498,4.3 out of 5 stars,"11,603","https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-20
"
"Northzone Boys & Girls Waterproof Stylish Sport Laptop size upto 15.6 inches Backpack with USB Charging, 34 L (Black)",Rs. 674,3.8 out of 5 stars,45,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTA0NjExODc0NzY2OTczOjE2Njg4MDA4MDM6c3BfYnRmOjIwMDM4MDA2MTg3Nzk4OjowOjo&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1668800803%26qu%3DeyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 1000),"Rs. 1,399",4.3 out of 5 stars,"7,411","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTA0NjExODc0NzY2OTczOjE2Njg4MDA4MDM6c3BfYnRmOjIwMDMyNTY1MDQ2OTk4OjowOjo&url=%2FHEROZ-Hammer-Backpack-Resistant-Durable%2Fdp%2FB07M82M8G7%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1668800803%26qu%3DeyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DAGHKR430JFM4U
"
